,FireplaceQu,GarageQual,SalePrice
433,TA,TA,181000
434,,,81000
435,TA,TA,212000
436,,TA,116000
437,,TA,119000
438,Gd,Gd,90350
439,,TA,110000
440,Gd,TA,555000
441,,,118000
442,Gd,TA,162900
443,Gd,TA,172500
444,TA,TA,210000
445,Gd,TA,127500
446,Gd,TA,190000
447,TA,TA,199900
448,Gd,TA,119500
449,,TA,120000
450,,Fa,110000
451,TA,TA,280000
452,,TA,204000
453,,TA,210000
454,,TA,188000
455,TA,TA,175500
456,,Fa,98000
457,Gd,TA,256000
458,Gd,TA,161000
459,TA,TA,110000
460,,TA,263435
461,,TA,155000
462,Po,TA,62383
463,Gd,TA,188700
464,,,124000
465,TA,TA,178740
466,Po,TA,167000
467,Gd,TA,146500
468,Gd,TA,250000
469,,TA,187000
470,,TA,212000
471,Gd,TA,190000
472,,TA,148000
473,Ex,TA,440000
474,,TA,251000
475,,TA,132500
476,TA,TA,208900
477,Gd,TA,380000
478,Gd,TA,297000
479,,TA,89471
480,Gd,TA,326000
481,Gd,TA,374000
482,Gd,Fa,155000
483,,TA,164000
484,,TA,132500
485,Gd,TA,147000
486,,TA,156000
487,TA,TA,175000
488,Gd,TA,160000
489,,TA,86000
490,Gd,TA,115000
491,TA,TA,133000
492,,TA,172785
493,Fa,TA,155000
494,,TA,91300
495,,,34900
496,Gd,TA,430000
497,,TA,184000
498,,TA,130000
499,,TA,120000
500,,TA,113000
501,,TA,226700
502,,Fa,140000
503,TA,TA,289000
504,Fa,TA,147000
505,,TA,124500
506,TA,TA,215000
507,,TA,208300
508,Gd,TA,161000
509,,TA,124500
510,TA,TA,164900
511,Gd,TA,202665
512,,TA,129900
513,,TA,134000
514,,Po,96500
515,Gd,TA,402861
516,TA,TA,158000
517,TA,TA,265000
518,,TA,211000
519,Gd,TA,234000
520,,,106250
521,Gd,TA,150000
522,Gd,TA,159000
523,Gd,TA,184750
524,TA,TA,315750
525,TA,TA,176000
526,,TA,132000
527,Gd,TA,446261
528,,,86000
529,TA,TA,200624
530,Fa,TA,175000
531,,TA,128000
532,Po,TA,107500
533,,,39300
534,Gd,TA,178000
535,,,107500
536,,TA,188000
537,,TA,111250
538,Fa,TA,158000
539,TA,TA,272000
540,Gd,TA,315000
541,TA,TA,248000
542,TA,TA,213250
543,,TA,133000
544,Gd,TA,179665
545,,TA,229000
546,Gd,TA,210000
547,,TA,129500
548,,TA,125000
549,Gd,TA,263000
550,,TA,140000
551,,TA,112500
552,Gd,TA,255500
553,,TA,108000
554,Gd,TA,284000
555,Gd,TA,113000
556,TA,TA,141000
557,,TA,108000
558,TA,TA,175000
559,TA,TA,234000
560,Gd,TA,121500
561,TA,TA,170000
562,Gd,,108000
563,Gd,TA,185000
564,TA,TA,268000
565,,TA,128000
566,Gd,TA,325000
567,,TA,214000
568,Gd,Gd,316600
569,TA,TA,135960
570,,TA,142600
571,,TA,120000
572,,TA,224500
573,TA,TA,170000
574,,TA,139000
575,,TA,118500
576,Gd,TA,145000
577,Fa,TA,164500
578,,TA,146000
579,,Fa,131500
580,Gd,TA,181900
581,Gd,TA,253293
582,,,118500
583,Gd,Gd,325000
584,,TA,133000
585,Gd,TA,369900
586,,TA,130000
587,,TA,137000
588,Gd,TA,143000
589,,TA,79500
590,,TA,185900
591,Gd,TA,451950
592,,TA,138000
593,,TA,140000
594,,TA,110000
595,TA,TA,319000
596,,TA,114504
597,Gd,TA,194201
598,TA,TA,217500
599,TA,TA,151000
600,Gd,TA,275000
601,Gd,TA,141000
602,TA,TA,220000
603,,TA,151000
604,TA,TA,221000
605,Fa,TA,205000
606,,TA,152000
607,,TA,225000
608,Gd,TA,359100
609,,TA,118500
610,Ex,TA,313000
611,TA,TA,148000
612,TA,TA,261500
613,,,147000
614,,,75500
615,,TA,137500
616,Gd,TA,183200
617,,TA,105500
618,Gd,TA,314813
619,Gd,TA,305000
620,,,67000
621,TA,TA,240000
622,,TA,135000
623,TA,TA,168500
624,TA,TA,165150
625,,TA,160000
626,TA,TA,139900
627,Gd,TA,153000
628,TA,TA,135000
629,,TA,168500
630,,Fa,124000
631,Gd,TA,209500
632,TA,TA,82500
633,,TA,139400
634,,TA,144000
635,,,200000
636,Po,,60000
637,,TA,93000
638,,,85000
639,Gd,TA,264561
640,Gd,TA,274000
641,TA,TA,226000
642,TA,TA,345000
643,,TA,152000
644,Gd,TA,370878
645,,TA,143250
646,,TA,98300
647,Gd,TA,155000
648,TA,TA,155000
649,,,84500
650,,TA,205950
651,Gd,Fa,108000
652,TA,TA,191000
653,,TA,135000
654,TA,TA,350000
655,,TA,88000
656,,TA,145500
657,Gd,TA,149000
658,Gd,TA,97500
659,,TA,167000
660,TA,TA,197900
661,TA,TA,402000
662,TA,TA,110000
663,,TA,137500
664,Ex,TA,423000
665,TA,TA,230500
666,Po,TA,129000
667,Fa,TA,193500
668,TA,TA,168000
669,Gd,TA,137500
670,,TA,173500
671,,TA,103600
672,TA,TA,165000
673,TA,TA,257500
674,Gd,TA,140000
675,TA,TA,148500
676,,Fa,87000
677,,Fa,109500
678,Gd,TA,372500
679,,TA,128500
680,TA,TA,143000
681,,TA,159434
682,Gd,TA,173000
683,TA,TA,285000
684,,TA,221000
685,TA,TA,207500
686,,TA,227875
687,,TA,148800
688,Gd,TA,392000
689,Gd,TA,194700
690,TA,TA,141000
691,Ex,TA,755000
692,Gd,TA,335000
693,,TA,108480
694,,TA,141500
695,TA,TA,176000
696,,TA,89000
697,,TA,123500
698,Gd,TA,138500
699,,TA,196000
700,Gd,TA,312500
701,,TA,140000
702,Gd,TA,361919
703,Po,TA,140000
704,,TA,213000
705,,,55000
706,TA,TA,302000
707,Gd,TA,254000
708,Gd,TA,179540
709,,TA,109900
710,,,52000
711,,TA,102776
712,Gd,TA,189000
713,,TA,129000
714,,TA,130500
715,TA,TA,165000
716,,TA,159500
717,Fa,TA,157000
718,TA,TA,341000
719,Po,TA,128500
720,TA,TA,275000
721,,TA,143000
722,,TA,124500
723,,TA,135000
724,Gd,TA,320000
725,,TA,120500
726,Gd,TA,222000
727,,TA,194500
728,,TA,110000
729,,TA,103000
730,TA,TA,236500
731,Gd,TA,187500
732,TA,TA,222500
733,TA,TA,131400
734,,TA,108000
735,TA,TA,163000
736,,TA,93500
737,Gd,TA,239900
738,,,179000
739,,TA,190000
740,,TA,132000
741,,TA,142000
742,,TA,179000
743,TA,TA,175000
744,TA,TA,180000
745,TA,TA,299800
746,TA,TA,236000
747,Gd,TA,265979
748,TA,TA,260400
749,,TA,98000
750,,,96500
751,,TA,162000
752,,TA,217000
753,Gd,TA,275500
754,,TA,156000
755,,TA,172500
756,,TA,212000
757,TA,TA,158900
758,,TA,179400
759,TA,TA,290000
760,,Ex,127500
761,,TA,100000
762,,TA,215200
763,Gd,TA,337000
764,Gd,TA,270000
765,Gd,TA,264132
766,TA,TA,196500
767,,TA,160000
768,Gd,TA,216837
769,Gd,TA,538000
770,,TA,134900
771,,TA,102000
772,TA,TA,107000
773,,TA,114500
774,Gd,TA,395000
775,,TA,162000
776,,TA,221500
777,Fa,TA,142500
778,TA,TA,144000
779,,TA,135000
780,TA,TA,176000
781,,TA,175900
782,,TA,187100
783,TA,TA,165500
784,Gd,,128000
785,Gd,TA,161500
786,,TA,139000
787,,TA,233000
788,,Fa,107900
789,,TA,187500
790,Gd,TA,160200
791,TA,TA,146800
792,TA,TA,269790
793,,TA,225000
794,TA,TA,194500
795,TA,TA,171000
796,TA,TA,143500
797,,TA,110000
798,Gd,TA,485000
799,TA,TA,175000
800,,TA,200000
801,,TA,109900
802,Gd,TA,189000
803,Gd,TA,582933
804,,TA,118000
805,,TA,227680
806,,TA,135500
807,TA,TA,223500
808,Gd,TA,159950
809,,Fa,106000
810,Fa,TA,181000
811,Gd,TA,144500
812,,TA,55993
813,,TA,157900
814,,TA,116000
815,,TA,224900
816,Gd,TA,137000
817,Gd,TA,271000
818,,TA,155000
819,Gd,TA,224000
820,,TA,183000
821,,TA,93000
822,Gd,TA,225000
823,Gd,TA,139500
824,Gd,TA,232600
825,Gd,TA,385000
826,,,109500
827,TA,TA,189000
828,,TA,185000
829,,TA,147400
830,Gd,TA,166000
831,,TA,151000
832,TA,TA,237000
833,,TA,167000
834,,TA,139950
835,,TA,128000
836,,TA,153500
837,,TA,100000
838,,TA,144000
839,,TA,130500
840,,TA,140000
841,Po,Gd,157500
842,,Gd,174900
843,,,141000
844,Gd,TA,153900
845,TA,TA,171000
846,TA,TA,213000
847,Fa,TA,133500
848,Gd,Fa,240000
849,TA,TA,187000
850,,TA,131500
851,TA,TA,215000
852,Gd,TA,164000
853,Fa,TA,158000
854,Gd,TA,170000
855,,TA,127000
856,,TA,147000
857,TA,TA,174000
858,TA,TA,152000
859,Gd,TA,250000
860,Gd,TA,189950
861,,TA,131500
862,,TA,152000
863,,TA,132500
864,,TA,250580
865,,TA,148500
866,Gd,TA,248900
867,,TA,129000
868,TA,TA,169000
869,TA,TA,236000
870,,TA,109500
871,,TA,200500
872,,TA,116000
873,Gd,TA,133000
874,,TA,66500
875,Gd,TA,303477
876,,TA,132250
877,Gd,TA,350000
878,,TA,148000
879,,TA,136500
880,,TA,157000
881,TA,TA,187500
882,TA,TA,178000
883,,TA,118500
884,,TA,100000
885,TA,TA,328900
886,,TA,145000
887,,TA,135500
888,TA,TA,268000
889,TA,TA,149500
890,Po,TA,122900
891,TA,TA,172500
892,,TA,154500
893,Gd,TA,165000
894,,TA,118858
895,TA,TA,140000
896,,TA,106500
897,,TA,142953
898,Gd,TA,611657
899,TA,TA,135000
900,,TA,110000
901,,TA,153000
902,Gd,TA,180000
903,Gd,TA,240000
904,,TA,125500
905,,TA,128000
906,Gd,TA,255000
907,Gd,Fa,250000
908,,TA,131000
909,Gd,TA,174000
910,,TA,154300
911,,TA,143500
912,,TA,88000
913,,TA,145000
914,,TA,173733
915,,TA,75000
916,,TA,35311
917,,TA,135000
918,TA,TA,238000
919,TA,TA,176500
920,,TA,201000
921,,,145900
922,Gd,TA,169990
923,Fa,TA,193000
924,TA,TA,207500
925,,TA,175000
926,Gd,TA,285000
927,Gd,TA,176000
928,TA,TA,236500
929,TA,TA,222000
930,,TA,201000
931,,TA,117500
932,Gd,TA,320000
933,,TA,190000
934,Gd,TA,242000
935,,TA,79900
936,,TA,184900
937,Gd,TA,253000
938,,TA,239799
939,TA,TA,244400
940,,TA,150900
941,TA,TA,214000
942,,,150000
943,,TA,143000
944,Gd,TA,137500
945,,TA,124900
946,TA,TA,143000
947,Gd,TA,270000
948,TA,TA,192500
949,TA,TA,197500
950,,TA,129000
951,,TA,119900
952,,TA,133900
953,Po,TA,172000
954,,,127500
955,,TA,145000
956,TA,TA,124000
957,,TA,132000
958,,TA,185000
959,,TA,155000
960,,,116500
961,TA,TA,272000
962,TA,TA,155000
963,,TA,239000
964,Gd,TA,214900
965,Gd,TA,178900
966,TA,TA,160000
967,,TA,135000
968,,,37900
969,,TA,140000
970,,,135000
971,,TA,173000
972,TA,TA,99500
973,,TA,182000
974,,TA,167500
975,,TA,165000
976,,,85500
977,,TA,199900
978,,TA,110000
979,,TA,139000
980,,TA,178400
981,TA,TA,336000
982,Gd,TA,159895
983,Gd,TA,255900
984,,TA,126000
985,,TA,125000
986,,Fa,117000
987,Gd,TA,395192
988,TA,TA,195000
989,,TA,197000
990,TA,TA,348000
991,Gd,TA,168000
992,Fa,TA,187000
993,,TA,173900
994,Gd,TA,337500
995,,TA,121600
996,,TA,136500
997,TA,TA,185000
998,Gd,TA,91000
999,,TA,206000
1000,,TA,82000
1001,,Fa,86000
1002,Gd,TA,232000
1003,,TA,136905
1004,Gd,TA,181000
1005,,TA,149900
1006,TA,TA,163500
1007,,TA,88000
1008,Gd,TA,240000
1009,,,102000
1010,Gd,TA,135000
1011,,,100000
1012,TA,TA,165000
1013,,TA,85000
1014,Gd,TA,119200
1015,,TA,227000
1016,TA,TA,203000
1017,Ex,TA,187500
1018,TA,TA,160000
1019,Gd,TA,213490
1020,,TA,176000
1021,,TA,194000
1022,,Fa,87000
1023,Gd,TA,191000
1024,Gd,TA,287000
1025,,TA,112500
1026,Gd,TA,167500
1027,Gd,TA,293077
1028,Gd,TA,105000
1029,,TA,118000
1030,,,160000
1031,TA,TA,197000
1032,TA,TA,310000
1033,,TA,230000
1034,Gd,Fa,119750
1035,,TA,84000
1036,Ex,TA,315500
1037,TA,TA,287000
1038,TA,,97000
1039,,TA,80000
1040,TA,TA,155000
1041,,TA,173000
1042,Gd,TA,196000
1043,Ex,TA,262280
1044,Gd,TA,278000
1045,Gd,TA,139600
1046,Gd,TA,556581
1047,,TA,145000
1048,TA,TA,115000
1049,,TA,84900
1050,,TA,176485
1051,Gd,TA,200141
1052,TA,TA,165000
1053,Gd,TA,144500
1054,Gd,TA,255000
1055,TA,TA,180000
1056,Gd,TA,185850
1057,Gd,TA,248000
1058,Gd,TA,335000
1059,Gd,TA,220000
1060,,TA,213500
1061,,TA,81000
1062,,TA,90000
1063,Gd,TA,110500
1064,Po,TA,154000
1065,,TA,328000
1066,TA,TA,178000
1067,,TA,167900
1068,Gd,TA,151400
1069,,TA,135000
1070,,TA,135000
1071,,TA,154000
1072,TA,TA,91500
1073,,TA,159500
1074,,TA,194000
1075,Gd,TA,219500
1076,TA,TA,170000
1077,,TA,138800
1078,Gd,TA,155900
1079,,TA,126000
1080,,TA,145000
1081,,TA,133000
1082,Gd,TA,192000
1083,Gd,TA,160000
1084,TA,TA,187500
1085,,TA,147000
1086,,TA,83500
1087,Gd,TA,252000
1088,,TA,137500
1089,Gd,TA,197000
1090,,TA,92900
1091,,TA,160000
1092,Gd,TA,136500
1093,,TA,146000
1094,,TA,129000
1095,Gd,TA,176432
1096,,,127000
1097,,TA,170000
1098,,TA,128000
1099,TA,TA,157000
1100,,TA,60000
1101,,TA,119500
1102,,TA,135000
1103,Fa,TA,159500
1104,,TA,106000
1105,TA,TA,325000
1106,TA,TA,179900
1107,Gd,TA,274725
1108,TA,TA,181000
1109,Gd,TA,280000
1110,TA,TA,188000
1111,Gd,TA,205000
1112,,TA,129900
1113,,TA,134500
1114,,TA,117000
1115,Gd,TA,318000
1116,TA,TA,184100
1117,,TA,130000
1118,,TA,140000
1119,,TA,133700
1120,Gd,TA,118400
1121,,TA,212900
1122,,TA,112000
1123,,,118000
1124,TA,TA,163900
1125,TA,Fa,115000
1126,TA,TA,174000
1127,Gd,TA,259000
1128,Gd,TA,215000
1129,,TA,140000
1130,TA,TA,135000
1131,,,93500
1132,,Fa,117500
1133,TA,TA,239500
1134,TA,TA,169000
1135,Gd,TA,102000
1136,,TA,119000
1137,,,94000
1138,TA,TA,196000
1139,Gd,TA,144000
1140,,TA,139000
1141,TA,TA,197500
1142,TA,TA,424870
1143,,,80000
1144,,TA,80000
1145,Gd,TA,149000
1146,TA,TA,180000
1147,Gd,TA,174500
1148,Gd,TA,116900
1149,,TA,143000
1150,Gd,TA,124000
1151,Gd,TA,149900
1152,Gd,TA,230000
1153,,TA,120500
1154,Gd,TA,201800
1155,Fa,TA,218000
1156,Gd,TA,179900
1157,Gd,TA,230000
1158,,TA,235128
1159,TA,Gd,185000
1160,TA,TA,146000
1161,Gd,TA,224000
1162,Po,TA,129000
1163,,Fa,108959
1164,TA,TA,194000
1165,,TA,233170
1166,,TA,245350
1167,TA,TA,173000
1168,TA,TA,235000
1169,TA,TA,625000
1170,Po,TA,171000
1171,TA,TA,163000
1172,,TA,171900
1173,Gd,,200500
1174,Gd,TA,239000
1175,TA,TA,285000
1176,,TA,119500
1177,,TA,115000
1178,Gd,Fa,154900
1179,Gd,,93000
1180,,TA,250000
1181,Gd,TA,392500
1182,TA,TA,745000
1183,Gd,TA,120000
1184,TA,TA,186700
1185,,TA,104900
1186,,Fa,95000
1187,Fa,TA,262000
1188,,TA,195000
1189,TA,TA,189000
1190,TA,TA,168000
1191,,TA,174000
1192,,TA,125000
1193,,TA,165000
1194,,TA,158000
1195,,TA,176000
1196,Gd,TA,219210
1197,Gd,TA,144000
1198,,TA,178000
1199,Po,TA,148000
1200,,TA,116050
1201,,TA,197900
1202,Fa,TA,117000
1203,TA,TA,213000
1204,,TA,153500
1205,TA,TA,271900
1206,,TA,107000
1207,,TA,200000
1208,,TA,140000
1209,Gd,TA,290000
1210,TA,TA,189000
1211,,TA,164000
1212,,TA,113000
1213,,TA,145000
1214,,TA,134500
1215,,TA,125000
1216,,TA,112000
1217,,TA,229456
1218,,,80500
1219,,,91500
1220,,TA,115000
1221,TA,TA,134000
1222,Gd,TA,143000
1223,,TA,137900
1224,Gd,TA,184000
1225,,TA,145000
1226,Gd,TA,214000
1227,,TA,147000
1228,Gd,TA,367294
1229,,TA,127000
1230,TA,TA,190000
1231,,TA,132500
1232,,TA,101800
1233,,TA,142000
1234,,,130000
1235,,Fa,138887
1236,,TA,175500
1237,Gd,TA,195000
1238,,TA,142500
1239,Gd,TA,265900
1240,,TA,224900
1241,,TA,248328
1242,TA,TA,170000
1243,Gd,TA,465000
1244,Gd,TA,230000
1245,TA,TA,178000
1246,,TA,186500
1247,,TA,169900
1248,Gd,Fa,129500
1249,,TA,119000
1250,TA,TA,244000
1251,Gd,TA,171750
1252,,TA,130000
1253,Gd,TA,294000
1254,Gd,TA,165400
1255,Gd,TA,127500
1256,TA,TA,301500
1257,,,99900
1258,,TA,190000
1259,,TA,151000
1260,TA,TA,181000
1261,,TA,128900
1262,TA,TA,161500
1263,Gd,TA,180500
1264,,TA,181000
1265,,TA,183900
1266,Gd,TA,122000
1267,Gd,TA,378500
1268,Gd,TA,381000
1269,,TA,144000
1270,TA,TA,260000
1271,Gd,TA,185750
1272,,TA,137000
1273,Gd,TA,177000
1274,Gd,TA,139000
1275,,TA,137000
1276,TA,TA,162000
1277,Gd,TA,197900
1278,Gd,TA,237000
1279,,TA,68400
1280,,TA,227000
1281,TA,Gd,180000
1282,,TA,150500
1283,,,139000
1284,Gd,TA,169000
1285,Gd,TA,132500
1286,Gd,TA,143000
1287,,TA,190000
1288,Ex,TA,278000
1289,Gd,TA,281000
1290,Gd,TA,180500
1291,,TA,119500
1292,,TA,107500
1293,TA,TA,162900
1294,,TA,115000
1295,,TA,138500
1296,,TA,155000
1297,,TA,140000
1298,Gd,TA,160000
1299,,TA,154000
1300,TA,TA,225000
1301,Gd,TA,177500
1302,TA,TA,290000
1303,,TA,232000
1304,,TA,130000
1305,Ex,TA,325000
1306,Gd,TA,202500
1307,,TA,138000
1308,,TA,147000
1309,,TA,179200
1310,TA,TA,335000
1311,,TA,203000
1312,Ex,Gd,302000
1313,TA,TA,333168
1314,TA,TA,119000
1315,Gd,TA,206900
1316,Gd,TA,295493
1317,Gd,TA,208900
1318,TA,TA,275000
1319,,TA,111000
1320,Gd,TA,156500
1321,,TA,72500
1322,TA,TA,190000
1323,,,82500
1324,Gd,TA,147000
1325,,,55000
